swap_pair,swap_pair_address,liquidity_USD,token_0_symbol,token_0_address,token_0_decimals,token_0_totalSupply,token_1_symbol,token_1_address,token_1_decimals,token_1_totalSupply
EKTA v2-USDT,0x373345c3efa3fd836ad1d54afbd3c5eb86e12120,428855.927,EKTA v2,0x45808ce43eb2d7685ff0242631f0feb6f3d8701a,18,18792,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168
NRCH-WBNB,0x8cc8605f2b54852b54a77b7e9711bb1156581ee9,157095.463,NRCH,0x69fa8e7f6bf1ca1fb0de61e1366f7412b827cc51,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-PDT,0x6e688d5ef7b1ebfd4fa091def824936cd2a790c6,87039.258,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,PDT,0xd822ada09eff45cdd81da4dc21f2993d6a5aac9b,18,18792
ARV-WBNB,0x9f38bf589be2e10ad45ced55afa50d668aeba2ee,76031.001,ARV,0x6679eb24f59dfe111864aec72b443d1da666b360,8,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-BW3,0x4511f77d2b513c7390b6e91753f8b3c2e50e45fb,76234.088,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,BW3,0xf83faf5011b6746be515ab158820106f47c5a2d5,3,18792
WBNB-ICE,0x51f914a192a97408d991fdddafb8f8537c5ffb0a,69221.45,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,ICE,0xf16e81dce15b08f326220742020379b855b87df9,18,18792
BFHT-WBNB,0x3540295c69987f92659ec0e3a38d2523212a850f,49170.96,BFHT,0x577ad06f635b402fc2724efd6a53a3a0aed3d155,6,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
BITT-WBNB,0x8c48a72af326df23e5c16f8858a66edd56c64a6f,39969.471,BITT,0x518445f0db93863e5e93a7f70617c05afa8048f1,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-WBNB,0x2905817b020fd35d9d09672946362b62766f0d69,37785.092,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
RTO-WBNB,0x136a13f3ce23398719933232827b4b2f95af0969,36758.536,RTO,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
MUFC-WBNB,0xfe94d715bb75ee343b70e687a44d2efda1f13b64,33725.695,MUFC,0x0ff41298d7083dd153511aa05e071afec62071a3,3,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
GERA-BUSD,0x9e6582d581ca6db04efd7e172c068bc81ee0a3f5,31241.683,GERA,0xde5ea375ffbdc8b25a80fe13d631e8ba0ab4bb02,8,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
META-WBNB,0xba1b731a66f08300d8c893e23f29344f4a187c3d,26261.445,META,0x6ff1c04fabe328d8b1f094fcd6032e6cdbed75dc,3,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
BABBC-BUSD,0x1f4d52ba2b589044c1e2c294f3579f00c0db609b,23847.609,BABBC,0xe83ce6bfb580583bd6a62b4be7b34fc25f02910d,8,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
EAGLE-WBNB,0x17c48af9824970dc91eb12e70a5c2caf25370f47,16529.117,EAGLE,0x1b8c57a4ca0c51726483fb455c4e6e4625e91c7b,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
