kashi_pair,kashi_pair_address,asset_address,asset_symbol,asset_decimals,collateral_address,collateral_symbol,collateral_decimals
kmETH/XRP-LINK,0x030423ede8dcccb84b33ce3c7202d389658eb8ff,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,18,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,18
kmDOGE/Cake-LINK,0x08ce3653a7c27b7aad6db8ba690f8bb3f2c6dc92,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,18,0xba2ae424d960c26247dd6c32edc70b295c744c43,DOGE,8
kmUSDT/ADA-LINK,0x0af5dd8d3ceb768b2bc812bd56490f53e1498573,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,18,0x55d398326f99059ff775485246999027b3197955,USDT,18
kmCREAM/XRP-LINK,0x0db2e145f020f446cd8845b611f34d4b00fcf68e,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,18,0xd4cb328a82bdf5f03eb737f37fa6b370aef3e888,CREAM,18
kmLTC/BUSD-LINK,0x0dd006632968e0326876b3ce679c4b1af51617ec,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,LTC,18
kmUNI/ADA-LINK,0x0f20120dc7eca2fc7eb04da380cc83941139a41e,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,18,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,UNI,18
kmDOT/UNI-LINK,0x1344e817d67e22cdb9c19f49c8281405d01a95e6,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,UNI,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,18
kmWBNB/BTCB-LINK,0x156169d28877902905d8bd9fb5a73fb9cdb1cbdc,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmWBNB/WBNB-LINK,0x15d01c8dbbe4ee1e2108825c85d27cf51291fd83,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmBUSD/BTCB-LINK,0x16263bed817c569c133cd9de966cd3806caf7c58,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmYFI/USDC-LINK,0x1a28936cb998aef0bf125bac8297ab406761462c,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,YFI,18
kmCake/DAI-LINK,0x1c7ab7b40b151a9ffa31ed24fec4a8e8269897bd,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI,18,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,18
kmLINK/USDT-LINK,0x1d8b1784fa9d28f43b9882bf42f2ab92ad6db8a4,0x55d398326f99059ff775485246999027b3197955,USDT,18,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,LINK,18
kmDOT/USDT-LINK,0x1e581f23632f9a4159e67f3ed720593212babd76,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,18
kmBUSD/DAI-LINK,0x1f9367f2f65f99263fcd23565d0af9b072c58ee2,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmWBNB/BAND-LINK,0x1fc56b49e2858f5a03b1a494504e3f5384df3973,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,BAND,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmADA/USDT-LINK,0x228777e6014e8d40d44241035d6e91bfd3981e41,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,18
kmUSDT/DAI-LINK,0x2c2c9a1b5e18bdac70e8b77253ebe73c50b2908f,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI,18,0x55d398326f99059ff775485246999027b3197955,USDT,18
kmXRP/BUSD-LINK,0x2e80386d72e65194f23182260e32b0181986fd20,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,18
kmCake/USDT-LINK,0x2f824a1315ee5a81213aa90bd74a9fe1bcb542b5,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,18
kmBUSD/LTC-LINK,0x2fa58f321ca71e52175d6ec7bdde74dc1e53b4c0,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,LTC,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmUNI/USDC-LINK,0x300bc936c8bd19b49000172731f1a2674ccfbbfa,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,UNI,18
kmLTC/USDT-LINK,0x32a93d31f143d83b6bc69a2bace1521b83015025,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,LTC,18
kmWBNB/DOGE-LINK,0x33fbf98bff1ba83a0fadb0836c6a9218b213c2c0,0xba2ae424d960c26247dd6c32edc70b295c744c43,DOGE,8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmUSDC/DOT-LINK,0x3717f6a2dd6f284c7908b826f8cc0c5178110534,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,18,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18
kmXTZ/BUSD-LINK,0x3978832a9c8d5e824283b6079f8a374dabc08771,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0x16939ef78684453bfdfb47825f8a5f714f12623a,XTZ,18
kmWBNB/XTZ-LINK,0x3c4c68b0b195f03cf8b3c96bc705b38a65d1faba,0x16939ef78684453bfdfb47825f8a5f714f12623a,XTZ,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmBCH/BTCB-LINK,0x3c64cb3b28e977eb939f343c47828d9eb166b044,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,18,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,BCH,18
kmLINK/BUSD-LINK,0x3d9691e5bad0237091bd73c35c64ba680d85600d,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,LINK,18
kmBUSD/ETH-LINK,0x42aef1b700b9961107fdcc3b2fe82a9a3df7225c,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
kmWBNB/YFI-LINK,0x43103e9ca6878565fa624df48901c46692f69c1a,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,YFI,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmXVS/WBNB-LINK,0x45d2d8cf3ea501380c8820e2986ded21e8fbc64e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,18
kmEOS/BUSD-LINK,0x471fc4c8c96d071a794e56da074f409dbed527d7,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,EOS,18
kmWBNB/BCH-LINK,0x47f7272b4b042b2dd196e9a3e050290e0ff4e999,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,BCH,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmUSDC/BTCB-LINK,0x49f4fdcb6384e3666aab1237af86003036c52349,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,18,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18
kmBCH/ADA-LINK,0x4a2ef11a36b32644ac4071d8028e82239794bd15,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,18,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,BCH,18
kmYFI/BUSD-LINK,0x4a8f4ba2994e59bae2cde5f78f29079acd9bb67e,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,YFI,18
kmUSDC/RAMP-LINK,0x4d506e67ebda6f59d324e3162625de51f8061ece,0x8519ea49c997f50ceffa444d240fb655e89248aa,RAMP,18,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18
kmBTCB/BAND-LINK,0x50106c711624dcd1769d1fc026d396d2e081c038,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,BAND,18,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,18
kmWBNB/XRP-LINK,0x5248e47493ea450029e656d7d57b2f127d3dce79,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmWBNB/Cake-LINK,0x533840535eb62595b7669f716cdac75b07338a28,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmUSDT/DOGE-LINK,0x541252f5120281aad4927d8a6b92f3b7f5f35a0f,0xba2ae424d960c26247dd6c32edc70b295c744c43,DOGE,8,0x55d398326f99059ff775485246999027b3197955,USDT,18
kmWBNB/LINK-LINK,0x563dd664561d8eb16cb014f2642203b5ae180821,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,LINK,18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18
kmLINK/USDC-LINK,0x57b24075aeb216d1879c16494cc5e03b5e26430f,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,LINK,18
kmBCH/WBNB-LINK,0x58430e50d8255ccd5f63dfc97d1d66ac98438c71,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,18,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,BCH,18
kmETH/USDC-LINK,0x591f6fd601dad61b9565a7896977baf69aa403c2,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,18,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,18
kmBUSD/SXP-LINK,0x5a5d5e1397164152e6dca44985afb80045bd4c16,0x47bead2563dcbf3bf2c9407fea4dc236faba485a,SXP,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,18
